"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","21","154","6","6","253.950287","0","1977"
"/Interchange/gltf/M_Default.M_Default","21","154","7","6","197.307556","0","1615"
"Globals","24","1030","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","2.405500","0","3"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","24","2","2","1","2.649301","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","2.373001","0","3"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","1","1","4.028986","0","13"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","26","14","6","25.903505","0","73"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","24","112","3","2","199.932587","0","819"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","24","210","16","3","373.727539","0","1921"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","24","2","2","1","2.129586","0","3"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","1","1","3.694790","0","10"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","2.020741","0","3"
"/Interchange/gltf/M_Default.M_Default","24","154","22","6","283.704468","0","872"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","24","33","4","1","51.126232","0","199"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","24","30","5","1","61.106197","0","174"
"/Interchange/gltf/M_ClearCoat.M_ClearCoat","24","154","18","6","314.748108","0","1044"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","2.433580","0","2"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","24","8","5","1","8.628991","0","29"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","2.389565","0","3"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","24","4","1","1","1.874823","0","11"
"/Interchange/gltf/M_Sheen.M_Sheen","24","154","18","6","310.592712","0","1173"
"/Interchange/gltf/M_Unlit.M_Unlit","24","26","13","6","23.975945","0","70"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","56","4","1","120.156693","0","582"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","28","2","1","63.128277","0","236"
"/Game/Tile/Pieces/Material.Material","24","28","2","1","0.000000","0","230"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","2.408451","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","6","6","1","4.629660","0","11"
"/Interchange/gltf/M_Transmission.M_Transmission","24","32","10","2","62.077751","0","119"
"/Interchange/gltf/M_SpecularGlossiness.M_SpecularGlossiness","24","154","20","6","309.053314","0","1225"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","24","56","4","1","116.319107","0","604"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","4","4","1","2.713977","0","7"
"/Engine/OpenWorldTemplate/LandscapeMaterial/M_ProcGrid.M_ProcGrid","24","56","3","2","97.165878","0","386"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","152","7","1","257.139893","0","2636"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","24","2","2","1","1.822168","0","3"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","68","8","1","105.986290","0","730"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","6","4","1","4.200618","0","17"
"/Game/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","24","136","10","2","204.690552","0","1383"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","24","12","2","22.084932","0","81"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","4","4","1","3.005312","0","4"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","14","1","1","14.986536","0","87"
"/Engine/VREditor/SnapGrid/SnapGridMaterial.SnapGridMaterial","24","4","4","1","4.311439","0","4"
"/Game/Tile/tile_Mat.tile_Mat","24","28","4","1","46.932186","0","239"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","210","7","1","329.912292","0","4361"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","24","2","2","1","2.018129","0","2"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","34","8","1","52.455471","0","217"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","105","8","1","104.624466","0","1025"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","24","98","7","1","162.598282","0","1142"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","1004","9","1","1466.098755","0","61645"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","24","98","9","1","148.244553","0","1180"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","98","9","1","0.000000","0","1180"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","56","7","1","85.904106","0","569"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","1.962067","0","3"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","4","4","1","3.751356","0","6"
"/ControlRig/M_Manip.M_Manip","24","4","4","1","3.248233","0","4"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","4","4","1","2.954760","0","6"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","1.856017","0","2"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","6","3","1","4.494292","0","21"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","350","10","1","681.635315","0","6717"
